Código PLU;Código de Barras;SKU;Producto / Corte;Categoría;Precio ($);Unidad;Stock;Disponible;Descripción
2002;;1;AGUJA PARRILLERA;CARNE VACUNA;17327;kg;85;SÍ;
2018;;160;Albondigas CV;CARNE VACUNA;16987;kg;100;SÍ;
2017;;2;ARANITA;CARNE VACUNA;19987;kg;130;SÍ;
2016;;3;ASADO SURTIDO PREMIUM;CARNE VACUNA;11987;kg;150;SÍ;
2015;;68;BALERO DE OSOBUCO ENVASADO PAMPA;CARNE VACUNA;0,01;kg;90;SÍ;
2014;;4;BIFE DE CHORIZO;CARNE VACUNA;27999;kg;35;SÍ;
2013;;61;Bife de Chorizo Envasado;CARNE VACUNA;0,01;kg;140;SÍ;
2012;;5;BOCADO ANCHO;CARNE VACUNA;18837;kg;200;SÍ;
2011;;6;BOCADO FINO;CARNE VACUNA;17327;kg;75;SÍ;
2010;;7;BOLA DE LOMO;CARNE VACUNA;21687;kg;110;SÍ;
2009;;51;BRAZUELO;CARNE VACUNA;14987;kg;80;SÍ;
2008;;8;BROCHETTE;CARNE VACUNA;18257;kg;65;NO;
2007;;9;CARNE VACUNA;CARNE VACUNA;0,1;kg;70;NO;
2006;;55;CARRE;CARNE VACUNA;0,01;kg;45;SÍ;
2005;;53;Chuleton;CARNE VACUNA;23157;kg;60;SÍ;
2004;;58;Cogotera;CARNE VACUNA;7857;kg;120;SÍ;
2003;;10;COLITA DE CUADRIL;CARNE VACUNA;28457;kg;90;SÍ;
2001;;52;COLITA DE CUADRIL ENVASADA;CARNE VACUNA;28997;kg;100;SÍ;
2021;;11;CORTITO;CARNE VACUNA;7857;kg;80;SÍ;
2020;;12;COSTELETA ANCHA;CARNE VACUNA;22777;kg;250;SÍ;
2019;;13;COSTELETA FINA;CARNE VACUNA;22987;kg;160;SÍ;
7005;;14;COSTILLA;CARNE VACUNA;26999;kg;100;SÍ;
8974;;15;COSTILLA DEL MEDIO;CARNE VACUNA;26987;kg;100;NO;
0000;;16;COSTILLA ENVASADA AL VACIO;CARNE VACUNA;0,01;kg;100;SÍ;
0000;;67;COSTILLA PAMPA ENVASADA;CARNE VACUNA;0,01;kg;100;SÍ;
